cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0  40   -0.349130D+02    0.767170D+02    0.128774D+04
   0   0  40   -0.145087D+03   -0.767170D+02    0.126572D+04
   0   0  40   -0.824440D+02    0.823770D+02    0.134789D+04
   0   0  40    0.105248D+03    0.690950D+02    0.129730D+04
   0   0  40   -0.975560D+02   -0.823770D+02    0.138067D+04
   0   0  40    0.747520D+02   -0.690950D+02    0.130462D+04
   0   0  40    0.133513D+03    0.616600D+02    0.128788D+04
   0   0  40   -0.615910D+02    0.610670D+02    0.130870D+04
   0   0  40    0.464870D+02   -0.616600D+02    0.124679D+04
   0   0  40   -0.118409D+03   -0.610670D+02    0.130954D+04
   0   0  40    0.317170D+02    0.000000D+00    0.132354D+04
   0   0  40    0.148283D+03    0.000000D+00    0.132354D+04
   0   0  40    0.900000D+02    0.317170D+02    0.124553D+04
   0   0  40    0.900000D+02   -0.317170D+02    0.121957D+04
   0   0  40    0.582830D+02    0.900000D+02    0.128513D+04
   0   0  40    0.121717D+03    0.900000D+02    0.128513D+04
   0   0  40    0.209050D+02    0.900000D+02    0.123715D+04
   0   0  40    0.159095D+03    0.900000D+02    0.123715D+04
   0   0  40    0.690950D+02    0.000000D+00    0.129083D+04
   0   0  40    0.110905D+03    0.000000D+00    0.129083D+04
   0   0  40    0.900000D+02    0.690950D+02    0.127113D+04
   0   0  40    0.900000D+02   -0.690950D+02    0.126192D+04
   0   0  40    0.547360D+02    0.450000D+02    0.125988D+04
   0   0  40    0.125264D+03    0.450000D+02    0.125988D+04
   0   0  40    0.547360D+02   -0.450000D+02    0.125988D+04
   0   0  40    0.125264D+03   -0.450000D+02    0.125988D+04
   0   0  40    0.000000D+00    0.000000D+00    0.143660D+04
   0   0  40    0.900000D+02    0.000000D+00    0.119727D+04
   0   0  40    0.900000D+02    0.900000D+02    0.119727D+04
   0   0  40    0.360000D+02    0.582830D+02    0.132439D+04
   0   0  40    0.144000D+03    0.582830D+02    0.132439D+04
   0   0  40    0.360000D+02   -0.582830D+02    0.130997D+04
   0   0  40    0.144000D+03   -0.582830D+02    0.130997D+04
   0   0  40    0.600000D+02    0.209050D+02    0.127796D+04
   0   0  40    0.120000D+03    0.209050D+02    0.127796D+04
   0   0  40    0.600000D+02   -0.209050D+02    0.140803D+04
   0   0  40    0.120000D+03   -0.209050D+02    0.140803D+04
   0   0  40    0.720000D+02    0.582830D+02    0.128154D+04
   0   0  40    0.108000D+03    0.582830D+02    0.128154D+04
   0   0  40    0.720000D+02   -0.582830D+02    0.127831D+04
   0   0  40    0.108000D+03   -0.582830D+02    0.127831D+04
   0   0  50    0.107170D+02    0.450000D+02    0.126762D+04
   0   0  50   -0.154328D+03    0.526230D+02    0.133058D+04
   0   0  50   -0.169283D+03   -0.450000D+02    0.126762D+04
   0   0  50    0.256720D+02   -0.526230D+02    0.129737D+04
   0   0  50    0.561500D+02    0.911000D+01    0.123504D+04
   0   0  50   -0.123850D+03   -0.911000D+01    0.128710D+04
   0   0  50    0.396650D+02    0.418100D+02    0.133691D+04
   0   0  50   -0.129665D+03    0.265650D+02    0.126445D+04
   0   0  50   -0.140335D+03   -0.418100D+02    0.139263D+04
   0   0  50    0.503350D+02   -0.265650D+02    0.123828D+04
   0   0  50   -0.107170D+02    0.450000D+02    0.126762D+04
   0   0  50    0.154328D+03    0.526230D+02    0.133058D+04
   0   0  50    0.169283D+03   -0.450000D+02    0.126762D+04
   0   0  50   -0.256720D+02   -0.526230D+02    0.129737D+04
   0   0  50   -0.561500D+02    0.911000D+01    0.123504D+04
   0   0  50    0.123850D+03   -0.911000D+01    0.128710D+04
   0   0  50   -0.396650D+02    0.418100D+02    0.133691D+04
   0   0  50    0.129665D+03    0.265650D+02    0.126445D+04
   0   0  50    0.140335D+03   -0.418100D+02    0.139263D+04
   0   0  50   -0.503350D+02   -0.265650D+02    0.123828D+04
   0   0  50    0.824440D+02    0.762300D+01    0.134789D+04
   0   0  50   -0.110137D+03    0.162670D+02    0.127064D+04
   0   0  50   -0.824440D+02    0.762300D+01    0.134789D+04
   0   0  50    0.110137D+03    0.162670D+02    0.127064D+04
   0   0  50    0.824440D+02    0.558120D+02    0.133466D+04
   0   0  50   -0.824440D+02    0.558120D+02    0.133466D+04
   0   0  50    0.648160D+02    0.317170D+02    0.132805D+04
   0   0  50   -0.110137D+03    0.471680D+02    0.130645D+04
   0   0  50   -0.648160D+02    0.317170D+02    0.132805D+04
   0   0  50    0.110137D+03    0.471680D+02    0.130645D+04
   0   0  50   -0.975560D+02   -0.762300D+01    0.138405D+04
   0   0  50    0.698630D+02   -0.162670D+02    0.125960D+04
   0   0  50    0.975560D+02   -0.762300D+01    0.138405D+04
   0   0  50   -0.698630D+02   -0.162670D+02    0.125960D+04
   0   0  50   -0.975560D+02   -0.558120D+02    0.132404D+04
   0   0  50    0.975560D+02   -0.558120D+02    0.132404D+04
   0   0  50   -0.115184D+03   -0.317170D+02    0.132404D+04
   0   0  50    0.698630D+02   -0.471680D+02    0.126811D+04
   0   0  50    0.115184D+03   -0.317170D+02    0.131707D+04
   0   0  50   -0.698630D+02   -0.471680D+02    0.126811D+04
   0   0  50    0.349130D+02    0.767170D+02    0.126572D+04
   0   0  50    0.145087D+03   -0.767170D+02    0.128598D+04
   0   0  50    0.824440D+02    0.823770D+02    0.138397D+04
   0   0  50   -0.105248D+03    0.690950D+02    0.130462D+04
   0   0  50    0.975560D+02   -0.823770D+02    0.134789D+04
   0   0  50   -0.747520D+02   -0.690950D+02    0.128555D+04
   0   0  50   -0.133513D+03    0.616600D+02    0.124672D+04
   0   0  50    0.615910D+02    0.610670D+02    0.130954D+04
   0   0  50   -0.464870D+02   -0.616600D+02    0.128788D+04
   0   0  50    0.118409D+03   -0.610670D+02    0.130870D+04
   0   0  50   -0.349130D+02    0.767170D+02    0.126572D+04
   0   0  50   -0.145087D+03   -0.767170D+02    0.128598D+04
   0   0  50   -0.824440D+02    0.823770D+02    0.138397D+04
   0   0  50    0.105248D+03    0.690950D+02    0.130462D+04
   0   0  50   -0.975560D+02   -0.823770D+02    0.134789D+04
   0   0  50    0.747520D+02   -0.690950D+02    0.128555D+04
   0   0  50    0.133513D+03    0.616600D+02    0.124672D+04
   0   0  50   -0.615910D+02    0.610670D+02    0.130954D+04
   0   0  50    0.464870D+02   -0.616600D+02    0.128788D+04
   0   0  50   -0.118409D+03   -0.610670D+02    0.130870D+04
   0   0  50    0.317170D+02    0.000000D+00    0.132354D+04
   0   0  50    0.148283D+03    0.000000D+00    0.132354D+04
   0   0  50    0.900000D+02    0.317170D+02    0.121957D+04
   0   0  50    0.900000D+02   -0.317170D+02    0.124750D+04
   0   0  50    0.582830D+02    0.900000D+02    0.128513D+04
   0   0  50    0.121717D+03    0.900000D+02    0.128513D+04
   0   0  50    0.209050D+02    0.900000D+02    0.123715D+04
   0   0  50    0.159095D+03    0.900000D+02    0.123715D+04
   0   0  50    0.690950D+02    0.000000D+00    0.129083D+04
   0   0  50    0.110905D+03    0.000000D+00    0.129083D+04
   0   0  50    0.900000D+02    0.690950D+02    0.126192D+04
   0   0  50    0.900000D+02   -0.690950D+02    0.127662D+04
   0   0  50    0.547360D+02    0.450000D+02    0.125988D+04
   0   0  50    0.125264D+03    0.450000D+02    0.125988D+04
   0   0  50    0.547360D+02   -0.450000D+02    0.125988D+04
   0   0  50    0.125264D+03   -0.450000D+02    0.125988D+04
   0   0  50    0.000000D+00    0.000000D+00    0.143660D+04
   0   0  50    0.900000D+02    0.000000D+00    0.119727D+04
   0   0  50    0.900000D+02    0.900000D+02    0.119727D+04
   0   0  50    0.360000D+02    0.582830D+02    0.130997D+04
   0   0  50    0.144000D+03    0.582830D+02    0.130997D+04
   0   0  50    0.360000D+02   -0.582830D+02    0.132439D+04
   0   0  50    0.144000D+03   -0.582830D+02    0.132439D+04
   0   0  50    0.600000D+02    0.209050D+02    0.140803D+04
   0   0  50    0.120000D+03    0.209050D+02    0.140803D+04
   0   0  50    0.600000D+02   -0.209050D+02    0.127796D+04
   0   0  50    0.120000D+03   -0.209050D+02    0.127796D+04
   0   0  50    0.720000D+02    0.582830D+02    0.127831D+04
   0   0  50    0.108000D+03    0.582830D+02    0.127831D+04
   0   0  50    0.720000D+02   -0.582830D+02    0.128154D+04
   0   0  50    0.108000D+03   -0.582830D+02    0.128154D+04
   0   0  60    0.107170D+02    0.450000D+02    0.133269D+04
   0   0  60   -0.154328D+03    0.526230D+02    0.122329D+04
   0   0  60   -0.169283D+03   -0.450000D+02    0.133269D+04
   0   0  60    0.256720D+02   -0.526230D+02    0.122252D+04
   0   0  60    0.561500D+02    0.911000D+01    0.127901D+04
   0   0  60   -0.123850D+03   -0.911000D+01    0.129273D+04
   0   0  60    0.396650D+02    0.418100D+02    0.133951D+04
   0   0  60   -0.129665D+03    0.265650D+02    0.130117D+04
   0   0  60   -0.140335D+03   -0.418100D+02    0.128541D+04
   0   0  60    0.503350D+02   -0.265650D+02    0.125108D+04
   0   0  60   -0.107170D+02    0.450000D+02    0.133269D+04
   0   0  60    0.154328D+03    0.526230D+02    0.122329D+04
   0   0  60    0.169283D+03   -0.450000D+02    0.133269D+04
   0   0  60   -0.256720D+02   -0.526230D+02    0.122252D+04
   0   0  60   -0.561500D+02    0.911000D+01    0.127901D+04
   0   0  60    0.123850D+03   -0.911000D+01    0.129273D+04
   0   0  60   -0.396650D+02    0.418100D+02    0.133951D+04
   0   0  60    0.129665D+03    0.265650D+02    0.130117D+04
   0   0  60    0.140335D+03   -0.418100D+02    0.128541D+04
   0   0  60   -0.503350D+02   -0.265650D+02    0.125108D+04
   0   0  60    0.824440D+02    0.762300D+01    0.126586D+04
   0   0  60   -0.110137D+03    0.162670D+02    0.126705D+04
   0   0  60   -0.824440D+02    0.762300D+01    0.126586D+04
   0   0  60    0.110137D+03    0.162670D+02    0.126705D+04
   0   0  60    0.824440D+02    0.558120D+02    0.129632D+04
   0   0  60   -0.824440D+02    0.558120D+02    0.129632D+04
   0   0  60    0.648160D+02    0.317170D+02    0.128197D+04
   0   0  60   -0.110137D+03    0.471680D+02    0.124250D+04
   0   0  60   -0.648160D+02    0.317170D+02    0.128197D+04
   0   0  60    0.110137D+03    0.471680D+02    0.124250D+04
   0   0  60   -0.975560D+02   -0.762300D+01    0.133494D+04
   0   0  60    0.698630D+02   -0.162670D+02    0.125805D+04
   0   0  60    0.975560D+02   -0.762300D+01    0.133494D+04
   0   0  60   -0.698630D+02   -0.162670D+02    0.125805D+04
   0   0  60   -0.975560D+02   -0.558120D+02    0.126044D+04
   0   0  60    0.975560D+02   -0.558120D+02    0.126044D+04
   0   0  60   -0.115184D+03   -0.317170D+02    0.126044D+04
   0   0  60    0.698630D+02   -0.471680D+02    0.125720D+04
   0   0  60    0.115184D+03   -0.317170D+02    0.134985D+04
   0   0  60   -0.698630D+02   -0.471680D+02    0.125720D+04
   0   0  60    0.349130D+02    0.767170D+02    0.126811D+04
   0   0  60    0.145087D+03   -0.767170D+02    0.135042D+04
   0   0  60    0.824440D+02    0.823770D+02    0.133473D+04
   0   0  60   -0.105248D+03    0.690950D+02    0.132657D+04
   0   0  60    0.975560D+02   -0.823770D+02    0.126586D+04
   0   0  60   -0.747520D+02   -0.690950D+02    0.129386D+04
   0   0  60   -0.133513D+03    0.616600D+02    0.122196D+04
   0   0  60    0.615910D+02    0.610670D+02    0.128640D+04
   0   0  60   -0.464870D+02   -0.616600D+02    0.131067D+04
   0   0  60    0.118409D+03   -0.610670D+02    0.128647D+04
   0   0  60   -0.349130D+02    0.767170D+02    0.126811D+04
   0   0  60   -0.145087D+03   -0.767170D+02    0.135042D+04
   0   0  60   -0.824440D+02    0.823770D+02    0.133473D+04
   0   0  60    0.105248D+03    0.690950D+02    0.132657D+04
   0   0  60   -0.975560D+02   -0.823770D+02    0.126586D+04
   0   0  60    0.747520D+02   -0.690950D+02    0.129386D+04
   0   0  60    0.133513D+03    0.616600D+02    0.122196D+04
   0   0  60   -0.615910D+02    0.610670D+02    0.128640D+04
   0   0  60    0.464870D+02   -0.616600D+02    0.131067D+04
   0   0  60   -0.118409D+03   -0.610670D+02    0.128647D+04
   0   0  60    0.317170D+02    0.000000D+00    0.132678D+04
   0   0  60    0.148283D+03    0.000000D+00    0.132706D+04
   0   0  60    0.900000D+02    0.317170D+02    0.112227D+04
   0   0  60    0.900000D+02   -0.317170D+02    0.120184D+04
   0   0  60    0.582830D+02    0.900000D+02    0.124384D+04
   0   0  60    0.121717D+03    0.900000D+02    0.124384D+04
   0   0  60    0.209050D+02    0.900000D+02    0.126375D+04
   0   0  60    0.159095D+03    0.900000D+02    0.126375D+04
   0   0  60    0.690950D+02    0.000000D+00    0.129196D+04
   0   0  60    0.110905D+03    0.000000D+00    0.129196D+04
   0   0  60    0.900000D+02    0.690950D+02    0.119846D+04
   0   0  60    0.900000D+02   -0.690950D+02    0.110771D+04
   0   0  60    0.547360D+02    0.450000D+02    0.115358D+04
   0   0  60    0.125264D+03    0.450000D+02    0.115358D+04
   0   0  60    0.547360D+02   -0.450000D+02    0.115358D+04
   0   0  60    0.125264D+03   -0.450000D+02    0.115358D+04
   0   0  60    0.000000D+00    0.000000D+00    0.145819D+04
   0   0  60    0.900000D+02    0.000000D+00    0.105467D+04
   0   0  60    0.900000D+02    0.900000D+02    0.105467D+04
   0   0  60    0.360000D+02    0.582830D+02    0.121471D+04
   0   0  60    0.144000D+03    0.582830D+02    0.121471D+04
   0   0  60    0.360000D+02   -0.582830D+02    0.130701D+04
   0   0  60    0.144000D+03   -0.582830D+02    0.130701D+04
   0   0  60    0.600000D+02    0.209050D+02    0.133058D+04
   0   0  60    0.120000D+03    0.209050D+02    0.133058D+04
   0   0  60    0.600000D+02   -0.209050D+02    0.126649D+04
   0   0  60    0.120000D+03   -0.209050D+02    0.126649D+04
   0   0  60    0.720000D+02    0.582830D+02    0.131630D+04
   0   0  60    0.108000D+03    0.582830D+02    0.131630D+04
   0   0  60    0.720000D+02   -0.582830D+02    0.128119D+04
   0   0  60    0.108000D+03   -0.582830D+02    0.128119D+04
   0   0  70    0.107170D+02    0.450000D+02    0.131834D+04
   0   0  70   -0.154328D+03    0.526230D+02    0.120803D+04
   0   0  70   -0.169283D+03   -0.450000D+02    0.131834D+04
   0   0  70    0.256720D+02   -0.526230D+02    0.125784D+04
   0   0  70    0.561500D+02    0.911000D+01    0.129723D+04
   0   0  70   -0.123850D+03   -0.911000D+01    0.124222D+04
   0   0  70    0.396650D+02    0.418100D+02    0.124876D+04
   0   0  70   -0.129665D+03    0.265650D+02    0.129238D+04
   0   0  70   -0.140335D+03   -0.418100D+02    0.115147D+04
   0   0  70    0.503350D+02   -0.265650D+02    0.114640D+04
   0   0  70   -0.107170D+02    0.450000D+02    0.131834D+04
   0   0  70    0.154328D+03    0.526230D+02    0.120803D+04
   0   0  70    0.169283D+03   -0.450000D+02    0.131834D+04
   0   0  70   -0.256720D+02   -0.526230D+02    0.125784D+04
   0   0  70   -0.561500D+02    0.911000D+01    0.129723D+04
   0   0  70    0.123850D+03   -0.911000D+01    0.124222D+04
   0   0  70   -0.396650D+02    0.418100D+02    0.124876D+04
   0   0  70    0.129665D+03    0.265650D+02    0.129238D+04
   0   0  70    0.140335D+03   -0.418100D+02    0.115147D+04
   0   0  70   -0.503350D+02   -0.265650D+02    0.114640D+04
   0   0  70    0.824440D+02    0.762300D+01    0.118889D+04
   0   0  70   -0.110137D+03    0.162670D+02    0.126691D+04
   0   0  70   -0.824440D+02    0.762300D+01    0.118889D+04
   0   0  70    0.110137D+03    0.162670D+02    0.126691D+04
   0   0  70    0.824440D+02    0.558120D+02    0.126670D+04
   0   0  70   -0.824440D+02    0.558120D+02    0.126670D+04
   0   0  70    0.648160D+02    0.317170D+02    0.119621D+04
   0   0  70   -0.110137D+03    0.471680D+02    0.117110D+04
   0   0  70   -0.648160D+02    0.317170D+02    0.119621D+04
   0   0  70    0.110137D+03    0.471680D+02    0.117110D+04
   0   0  70   -0.975560D+02   -0.762300D+01    0.121232D+04
   0   0  70    0.698630D+02   -0.162670D+02    0.119762D+04
   0   0  70    0.975560D+02   -0.762300D+01    0.121232D+04
   0   0  70   -0.698630D+02   -0.162670D+02    0.119762D+04
   0   0  70   -0.975560D+02   -0.558120D+02    0.123497D+04
   0   0  70    0.975560D+02   -0.558120D+02    0.123497D+04
   0   0  70   -0.115184D+03   -0.317170D+02    0.111496D+04
   0   0  70    0.698630D+02   -0.471680D+02    0.118038D+04
   0   0  70    0.115184D+03   -0.317170D+02    0.111496D+04
   0   0  70   -0.698630D+02   -0.471680D+02    0.118038D+04
   0   0  70    0.349130D+02    0.767170D+02    0.128689D+04
   0   0  70    0.145087D+03   -0.767170D+02    0.130251D+04
   0   0  70    0.824440D+02    0.823770D+02    0.121232D+04
   0   0  70   -0.105248D+03    0.690950D+02    0.126072D+04
   0   0  70    0.975560D+02   -0.823770D+02    0.118889D+04
   0   0  70   -0.747520D+02   -0.690950D+02    0.122217D+04
   0   0  70   -0.133513D+03    0.616600D+02    0.119333D+04
   0   0  70    0.615910D+02    0.610670D+02    0.113958D+04
   0   0  70   -0.464870D+02   -0.616600D+02    0.127409D+04
   0   0  70    0.118409D+03   -0.610670D+02    0.115555D+04
   0   0  70   -0.349130D+02    0.767170D+02    0.128689D+04
   0   0  70   -0.145087D+03   -0.767170D+02    0.130251D+04
   0   0  70   -0.824440D+02    0.823770D+02    0.121232D+04
   0   0  70    0.105248D+03    0.690950D+02    0.126072D+04
   0   0  70   -0.975560D+02   -0.823770D+02    0.118889D+04
   0   0  70    0.747520D+02   -0.690950D+02    0.122217D+04
   0   0  70    0.133513D+03    0.616600D+02    0.119333D+04
   0   0  70   -0.615910D+02    0.610670D+02    0.113958D+04
   0   0  70    0.464870D+02   -0.616600D+02    0.127409D+04
   0   0  70   -0.118409D+03   -0.610670D+02    0.115555D+04
   0   0  70    0.317170D+02    0.000000D+00    0.129730D+04
   0   0  70    0.148283D+03    0.000000D+00    0.129730D+04
   0   0  70    0.900000D+02    0.317170D+02    0.105452D+04
   0   0  70    0.900000D+02   -0.317170D+02    0.116737D+04
   0   0  70    0.582830D+02    0.900000D+02    0.126501D+04
   0   0  70    0.121717D+03    0.900000D+02    0.126501D+04
   0   0  70    0.209050D+02    0.900000D+02    0.125953D+04
   0   0  70    0.159095D+03    0.900000D+02    0.125953D+04
   0   0  70    0.690950D+02    0.000000D+00    0.123596D+04
   0   0  70    0.110905D+03    0.000000D+00    0.123596D+04
   0   0  70    0.900000D+02    0.690950D+02    0.116308D+04
   0   0  70    0.900000D+02   -0.690950D+02    0.108238D+04
   0   0  70    0.547360D+02    0.450000D+02    0.113592D+04
   0   0  70    0.125264D+03    0.450000D+02    0.113592D+04
   0   0  70    0.547360D+02   -0.450000D+02    0.113592D+04
   0   0  70    0.125264D+03   -0.450000D+02    0.113592D+04
   0   0  70    0.000000D+00    0.000000D+00    0.135991D+04
   0   0  70    0.900000D+02    0.000000D+00    0.995712D+03
   0   0  70    0.900000D+02    0.900000D+02    0.995712D+03
   0   0  70    0.360000D+02    0.582830D+02    0.123715D+04
   0   0  70    0.144000D+03    0.582830D+02    0.123715D+04
   0   0  70    0.360000D+02   -0.582830D+02    0.128337D+04
   0   0  70    0.144000D+03   -0.582830D+02    0.128337D+04
   0   0  70    0.600000D+02    0.209050D+02    0.129639D+04
   0   0  70    0.120000D+03    0.209050D+02    0.129639D+04
   0   0  70    0.600000D+02   -0.209050D+02    0.112185D+04
   0   0  70    0.120000D+03   -0.209050D+02    0.112185D+04
   0   0  70    0.720000D+02    0.582830D+02    0.115878D+04
   0   0  70    0.108000D+03    0.582830D+02    0.115878D+04
   0   0  70    0.720000D+02   -0.582830D+02    0.119825D+04
   0   0  70    0.108000D+03   -0.582830D+02    0.119825D+04
   0   0  80    0.107170D+02    0.450000D+02    0.112776D+04
   0   0  80   -0.154328D+03    0.526230D+02    0.113430D+04
   0   0  80   -0.169283D+03   -0.450000D+02    0.112776D+04
   0   0  80    0.256720D+02   -0.526230D+02    0.116687D+04
   0   0  80    0.561500D+02    0.911000D+01    0.120226D+04
   0   0  80   -0.123850D+03   -0.911000D+01    0.111897D+04
   0   0  80    0.396650D+02    0.418100D+02    0.115843D+04
   0   0  80   -0.129665D+03    0.265650D+02    0.111868D+04
   0   0  80   -0.140335D+03   -0.418100D+02    0.109983D+04
